"ss_id","ss_name","address","gov_id","city_id","longitude","latitude","pversion","ptype"
"1025227","恒大春晖苑","None","295","288","111.593345","35.488177","2019/9/11","{9,0}"
"1026922","恒大华府","龙凤北大街新火车站往北300米(吕梁学院新校区对面)","336","335","111.147189","37.576651","2019/9/11","{9,0}"
"1028066","碧桂园","满都海西巷","354","350","111.684384","40.81522","2019/9/11","{4,2}"
"1028170","中海峰墅(滨河路)","滨河路西50米","354","350","111.739249","40.790905","2019/9/11","{4,3}"
"1028177","中海银河天街","金桥经济技术开发区滨河路万豪美墅城东","354","350","111.73408","40.78761","2019/9/11","{4,3}"
"1028191","恒大华府","哈达路与滨河北路交叉口","354","350","111.732687","40.788866","2019/9/11","{9,0}"
"1028569","保利·罗兰香谷","保利体育庄园西","361","360","109.990195","40.541164","2019/9/11","{4,4}"
"1028542","保利南海庄园","二里半路王大汉村","361","360","110.007171","40.547659","2019/9/11","{4,4}"
"1028504","保利·百合花园","耐火厂路","361","360","110.046219","40.578205","2019/9/11","{4,4}"
"1029746","通辽碧桂园","柳萌路","388","387","122.27191","43.661006","2019/9/11","{4,2}"
"1028659","保利·拉菲公馆(黄河大街)","黄河大街95号","362","360","109.82879","40.631934","2019/9/11","{4,4}"
"1028710","碧桂园·领秀商住小区","碧桂园西北50米","362","360","109.836392","40.722487","2019/9/11","{4,2}"
"1028871","恒大华府","中国内蒙古自治区包头市九原区九原政府东侧,巴音高勒公园北门","366","360","109.973753","40.610761","2019/9/11","{9,0}"
"1028668","恒大名都(校园路)","校园路9号","362","360","109.81191","40.625799","2019/9/11","{9,0}"
"1028836","保利心语(建设中)","校园南路23号","363","360","109.852767","40.618167","2019/9/11","{4,4}"
"1031478","恒大华府","前进路55号","429","428","113.124949","41.041968","2019/9/11","{9,0}"
"1030880","碧桂园","北湖街与华山街交叉口东北50米","415","405","117.469171","49.606336","2019/9/11","{4,2}"
"1031786","兴安盟碧桂园","科右前旗","441","440","122.012025","46.07519","2019/9/11","{4,2}"
"1032365","万科紫金苑","南湖街道青年大街332号","466","465","123.433171","41.763641","2019/9/11","{4,1}"
"1031873","碧桂园喜居苑区","None","443","440","122.000922","46.08254","2019/9/11","{4,2}"
"1032497","中海龙湾","长白大街115号","466","465","123.410475","41.740241","2019/9/11","{4,3}"
"1032939","万科·春河里","文艺路与彩塔街交叉口","467","465","123.430873","41.780137","2019/9/11","{4,1}"
